Name;Value.Skill;Value.levelDifficulty
1126757909184086875;4;EASY
1126757909184086875;2;EASY
1530393169260920597;;
1947931233209809877;2;HARD
3222661888180467937;4;EASY
3848743437012212075;;
4443867434743800590;;
5116002334978996940;1;HARD
6409546622230072682;3;EASY
6409546622230072682;2;EASY
6409546622230072682;2;EASY
7405794501571521397;2;HARD
7944648088642926644;;
8905972887783645587;;
975948956911856427;;
1072656139929493234;;
1082263944345942605;3;EASY
1082263944345942605;4;EASY
1182444718828653203;;
1363855555257604925;1;HARD
1431444237905285619;3;EASY
1431444237905285619;2;EASY
1431444237905285619;3;EASY
1444173722906136422;;
1468638327243701739;;
1495074927818773988;1;EASY
1495074927818773988;3;EASY
1543718511737675472;3;HARD
1798143173085778405;4;EASY
2009426020896778108;2;HARD
2059247330903277553;2;HARD
2427985648731182349;;
2461431345924955023;;
252581823630818337;;
2606018616934379628;;
2677517771946461631;;
2737028842379666717;;
2917491179643285369;2;HARD
2937131431167305652;1;HARD
3147816250910330110;;
3286349808678696342;;
3385556747849782364;;
3407025067876679734;2;EASY
3542414199924367283;3;EASY
3649631126003791322;3;HARD
3716308143488741528;;
3830342747025422777;;
3856262804097269760;5;HARD
3866215995876012206;4;HARD
387455208773417305;3;HARD
387455208773417305;2;HARD
3907226352230711025;;
3925221362123969843;3;HARD
3925221362123969843;4;HARD
3998890979124306452;3;HARD
4020079134643406323;3;HARD
4094685120293515995;;
4187895149841116080;1;HARD
4220837528742726317;;
4223473155689807984;1;HARD
4518381725033305616;3;EASY
4810893318553384374;3;HARD
5133188808210902934;2;HARD
5443706252817494970;;
5643948663400874549;3;HARD
5643948663400874549;4;HARD
5643948663400874549;3;HARD
5756082089560772486;;
602098375652577031;2;EASY
6086316878927134809;;
6174304818243345968;3;EASY
6174304818243345968;3;EASY
6174304818243345968;2;EASY
6174304818243345968;2;EASY
6174304818243345968;1;EASY
6205485234145587318;1;HARD
6740110195386682135;;
6913427337218077041;3;EASY
705901572353962319;4;EASY
705901572353962319;5;EASY
705901572353962319;3;EASY
709155934823570157;2;HARD
7193628398145357670;2;EASY
7383566819629374614;3;EASY
7544726878927104633;;
758313857155419989;4;HARD
7674128499215108887;2;HARD
7674128499215108887;4;HARD
7674128499215108887;4;HARD
7734353017339917407;;
7745609006076316256;3;HARD
8635887531757886603;;
892180074966235384;4;HARD
8934828443364329759;3;HARD
9116423333854864607;2;HARD
9116423333854864607;3;HARD
9116423333854864607;5;HARD
953032386479932511;4;HARD
1045560040136058036;4;HARD
1045560040136058036;2;HARD
1045560040136058036;1;HARD
1088722923830231958;;
114854021000515170;;
1168129803860387891;;
1232849654930399726;;
1267507278367725983;2;EASY
1368680045095620654;;
1385565792430469603;3;EASY
1395763909340804219;;
1538445874763309281;;
157944069160053099;3;HARD
1607178700530735949;4;HARD
1619366812132536978;2;HARD
1619460827975009191;;
1623013205585254720;5;EASY
1623013205585254720;5;EASY
1733342753465509070;3;EASY
1809993702961660296;2;EASY
1932672610123153558;2;HARD
1984246957376655214;5;HARD
2046253911411990718;2;HARD
2046253911411990718;3;HARD
2063180268622913879;;
2190702301670407137;;
2490530026715395805;;
2616183498576396450;2;EASY
2707798156655514397;2;HARD
2720988733092928670;;
2730937712664045593;;
2788732078683563360;4;HARD
2809462855172882374;2;EASY
2883188744900435742;5;EASY
2883188744900435742;4;EASY
2883188744900435742;4;EASY
2883188744900435742;5;EASY
2883188744900435742;5;EASY
2883188744900435742;4;EASY
2899760076836161003;;
2977017541088363058;;
3007896395916945777;3;HARD
3028517500769047673;2;HARD
3108567711425957315;;
3230690920330946555;;
3240999660248541886;;
3272390883549232424;5;EASY
3365568272506603414;2;EASY
3483298140389683341;3;HARD
349447138222152908;;
3704990574109784239;4;EASY
3706859492818350796;2;EASY
3706859492818350796;4;EASY
3706859492818350796;3;EASY
3741487149895369888;;
374666576992521514;1;HARD
374666576992521514;3;HARD
374666576992521514;4;HARD
374666576992521514;4;HARD
374666576992521514;3;HARD
374666576992521514;3;HARD
374666576992521514;4;HARD
3751794401808430801;;
3857558452112660312;;
3858215830760853316;;
3875563707110725317;;
3929528011741992517;4;EASY
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
3976523808826057435;3;HARD
4288731596789667052;;
4476093112547187866;;
4508188291227463926;2;HARD
4671740550322628655;3;HARD
4671740550322628655;2;HARD
4718362800696818049;;
4848933432829190081;;
4879993364630116769;;
4920326229026728118;;
5045398153499486808;2;EASY
5045398153499486808;3;EASY
5060656221395388383;;
5233157276984910940;3;EASY
5259363505039104955;3;EASY
5306579675715248779;;
5470214838606364060;4;HARD
5470214838606364060;5;HARD
5470214838606364060;4;HARD
5470214838606364060;4;HARD
5470214838606364060;5;HARD
5470214838606364060;4;HARD
5470214838606364060;4;HARD
5470214838606364060;4;HARD
5485630034294085268;3;EASY
5485630034294085268;2;EASY
5501260158119191326;;
5523932241583497029;2;HARD
5534641257637961746;2;EASY
5615603050454732226;;
5760360999058766437;;
6005218198949426372;3;HARD
6076026726070860431;;
6110964872882541941;;
6120441850317779126;1;HARD
622247180279702136;4;HARD
622247180279702136;3;HARD
622247180279702136;3;HARD
622247180279702136;4;HARD
6228396551229153993;4;HARD
6346594997033955084;4;HARD
6350943008401004876;;
6430124701306001569;;
6538819782155065090;;
657181911002597004;;
659649677141259156;;
660344611267483099;;
6615109153622399121;2;EASY
6713325590405912600;;
6921495534541474211;;
6948441396974881047;4;EASY
7339695127237810324;5;HARD
7376718801858428027;4;EASY
7421698782103601388;4;HARD
746792246135835924;;
7493229294646072814;;
7502136491551646351;2;EASY
7787987802344267051;5;EASY
789207802658492373;;
7959960352374522644;;
8039639679257402388;3;EASY
8039639679257402388;3;EASY
8039639679257402388;3;EASY
8056270907786198710;5;EASY
8099685567710576395;1;EASY
8191282985395728588;;
8211864454419133047;;
8363032601535564668;;
8366035445067982882;;
838556667136771979;;
8513513392179676718;;
8533893481328013180;;
8579195801446396772;;
8631649220093469435;;
8643615059074348006;;
8743452107125403884;1;HARD
8789482585559465446;4;HARD
8790335764012539502;2;HARD
8795512725354772343;;
8795536000699076996;;
8894786196826590476;;
8969406569146220590;3;HARD
8969406569146220590;3;HARD
8993480018245408685;;
9018858172946383254;;
9028204697655740339;;
9090990254074822355;3;HARD
926508290370258790;;
1136938727801755194;;
1170930898144137358;4;EASY
1348597222705622771;;
1559991142925896870;;
1669824004329016260;1;EASY
1754805883208873149;;
1926477487859662175;;
1954032360092724577;4;HARD
1954032360092724577;4;HARD
1954032360092724577;2;HARD
2079816969066347919;;
2593081460619558306;3;HARD
2635443620960614827;;
2929951246141652755;;
3188471634300217347;3;HARD
3462327010927419025;3;HARD
3962045993561300221;;
4493942792643359591;3;EASY
4790264683402568489;3;EASY
4804308404685285831;;
5485457927854277891;2;EASY
5986391473002579995;;
6137042090175494155;3;HARD
6430376389577212026;;
6509716804434035048;2;HARD
6611222696482831316;3;EASY
6611222696482831316;3;EASY
6611222696482831316;3;EASY
6611222696482831316;4;EASY
6611222696482831316;4;EASY
6611222696482831316;5;EASY
6611222696482831316;5;EASY
6743655186882880849;4;EASY
6743655186882880849;5;EASY
6743655186882880849;4;EASY
6743655186882880849;2;EASY
6764646272537405998;;
6882348970292673073;5;HARD
6882348970292673073;5;HARD
6924530571938175589;;
7205502176705560358;;
7578375308724127810;;
7633398167979153821;3;HARD
7762211134769161437;4;EASY
7762211134769161437;3;EASY
7961949740771509987;3;HARD
8093290578820947228;;
8128382991677322461;;
8130121790971488349;5;HARD
8130121790971488349;3;HARD
8130121790971488349;4;HARD
8419089351206198831;;
8489975859974970317;5;EASY
8489975859974970317;3;EASY
8489975859974970317;2;EASY
8559074508070845435;2;HARD
8850877846159865729;;
8960612724282952366;5;EASY
8973668291024981303;;
